person,personLabel,deathDate,deathPlace,deathPlaceLabel,deathLat,deathLon,burialPlace,burialPlaceLabel,burialLat,burialLon
http://www.wikidata.org/entity/Q507536,Andrew Smith Hallidie,1900-04-24T00:00:00Z,http://www.wikidata.org/entity/Q62,San Francisco,37.775,-122.419444444,http://www.wikidata.org/entity/Q3084115,Cypress Lawn Memorial Park,37.67,-122.458
http://www.wikidata.org/entity/Q884377,John H. Gear,1900-07-14T00:00:00Z,http://www.wikidata.org/entity/Q61,"Washington, D.C.",38.895,-77.036666666,http://www.wikidata.org/entity/Q105069231,Aspen Grove Cemetery,40.826944444,-91.119444444
http://www.wikidata.org/entity/Q933195,Charles Hopper Gibson,1900-03-31T00:00:00Z,http://www.wikidata.org/entity/Q61,"Washington, D.C.",38.895,-77.036666666,,,,
http://www.wikidata.org/entity/Q1378442,Seth Barton,1900-04-11T00:00:00Z,http://www.wikidata.org/entity/Q61,"Washington, D.C.",38.895,-77.036666666,http://www.wikidata.org/entity/Q116306234,Fredericksburg City Cemetery,38.30112,-77.46628
http://www.wikidata.org/entity/Q2373732,Sydney Parham Epes,1900-03-03T00:00:00Z,http://www.wikidata.org/entity/Q61,"Washington, D.C.",38.895,-77.036666666,http://www.wikidata.org/entity/Q112228151,Lakeview Cemetery,37.07091,-78.01143
http://www.wikidata.org/entity/Q3136599,William Alexander Hammond,1900-01-05T00:00:00Z,http://www.wikidata.org/entity/Q61,"Washington, D.C.",38.895,-77.036666666,http://www.wikidata.org/entity/Q216344,Arlington National Cemetery,38.878087,-77.068769
http://www.wikidata.org/entity/Q4345359,John Parke,1900-12-16T00:00:00Z,http://www.wikidata.org/entity/Q61,"Washington, D.C.",38.895,-77.036666666,http://www.wikidata.org/entity/Q5117237,Church of St. James the Less,40.003889,-75.183056
http://www.wikidata.org/entity/Q4795702,Arpad Haraszthy,1900-11-15T00:00:00Z,http://www.wikidata.org/entity/Q62,San Francisco,37.775,-122.419444444,,,,
http://www.wikidata.org/entity/Q5134175,Clinton L. Merriam,1900-02-18T00:00:00Z,http://www.wikidata.org/entity/Q61,"Washington, D.C.",38.895,-77.036666666,http://www.wikidata.org/entity/Q94666204,Locust Grove Cemetery,43.565202,-75.375416
http://www.wikidata.org/entity/Q5284057,Divie Bethune McCartee,1900-07-17T00:00:00Z,http://www.wikidata.org/entity/Q62,San Francisco,37.775,-122.419444444,,,,
http://www.wikidata.org/entity/Q5346856,Edwin Sylvanus Osborne,1900-01-01T00:00:00Z,http://www.wikidata.org/entity/Q61,"Washington, D.C.",38.895,-77.036666666,http://www.wikidata.org/entity/Q216344,Arlington National Cemetery,38.878087,-77.068769
http://www.wikidata.org/entity/Q5498904,Frederick V. McNair,1900-11-28T00:00:00Z,http://www.wikidata.org/entity/Q61,"Washington, D.C.",38.895,-77.036666666,http://www.wikidata.org/entity/Q216344,Arlington National Cemetery,38.878087,-77.068769
http://www.wikidata.org/entity/Q5546023,George Washington Shonk,1900-08-14T00:00:00Z,http://www.wikidata.org/entity/Q61,"Washington, D.C.",38.895,-77.036666666,,,,
http://www.wikidata.org/entity/Q5717291,Henry Ames Blood,1900-12-30T00:00:00Z,http://www.wikidata.org/entity/Q61,"Washington, D.C.",38.895,-77.036666666,,,,
http://www.wikidata.org/entity/Q6146014,Thomas Albert Williams,1900-12-23T00:00:00Z,http://www.wikidata.org/entity/Q61,"Washington, D.C.",38.895,-77.036666666,,,,
http://www.wikidata.org/entity/Q6248239,John McNulta,1900-02-22T00:00:00Z,http://www.wikidata.org/entity/Q61,"Washington, D.C.",38.895,-77.036666666,http://www.wikidata.org/entity/Q5417178,Evergreen Cemetery,40.4689,-88.9886
http://www.wikidata.org/entity/Q6811116,William Saunders,1900-09-11T00:00:00Z,http://www.wikidata.org/entity/Q61,"Washington, D.C.",38.895,-77.036666666,http://www.wikidata.org/entity/Q7354368,Rock Creek Cemetery,38.947778,-77.013056
http://www.wikidata.org/entity/Q7610857,Stephen William Shaw,1900-02-12T00:00:00Z,http://www.wikidata.org/entity/Q62,San Francisco,37.775,-122.419444444,,,,
http://www.wikidata.org/entity/Q8069011,Zenas Bliss,1900-01-02T00:00:00Z,http://www.wikidata.org/entity/Q61,"Washington, D.C.",38.895,-77.036666666,http://www.wikidata.org/entity/Q216344,Arlington National Cemetery,38.878087,-77.068769
http://www.wikidata.org/entity/Q14623568,William Kennon Mayo,1900-01-01T00:00:00Z,http://www.wikidata.org/entity/Q61,"Washington, D.C.",38.895,-77.036666666,,,,
http://www.wikidata.org/entity/Q16030381,Eugenia Washington,1900-11-30T00:00:00Z,http://www.wikidata.org/entity/Q61,"Washington, D.C.",38.895,-77.036666666,,,,
http://www.wikidata.org/entity/Q16943974,Beverly Tucker Lacy,1900-11-01T00:00:00Z,http://www.wikidata.org/entity/Q61,"Washington, D.C.",38.895,-77.036666666,http://www.wikidata.org/entity/Q501761,Lexington,37.7840208,-79.4428157
http://www.wikidata.org/entity/Q18217706,Ammiel J. Willard,1900-05-05T00:00:00Z,http://www.wikidata.org/entity/Q61,"Washington, D.C.",38.895,-77.036666666,http://www.wikidata.org/entity/Q216344,Arlington National Cemetery,38.878087,-77.068769
http://www.wikidata.org/entity/Q48698654,Joseph D. Strong,1900-04-04T00:00:00Z,http://www.wikidata.org/entity/Q62,San Francisco,37.775,-122.419444444,,,,
http://www.wikidata.org/entity/Q55720861,Robert Graham Dun,1900-11-10T00:00:00Z,http://www.wikidata.org/entity/Q60,New York City,40.728138888,-73.920277777,http://www.wikidata.org/entity/Q2000666,Woodlawn Cemetery,40.889167,-73.873333
http://www.wikidata.org/entity/Q65519371,Jennie O'Neill Potter,1900-04-17T00:00:00Z,http://www.wikidata.org/entity/Q60,New York City,40.728138888,-73.920277777,http://www.wikidata.org/entity/Q117617827,Patch Grove Cemetery,42.9381,-90.9769
http://www.wikidata.org/entity/Q67905108,Lazarus Dinkelspiel,1900-01-01T00:00:00Z,http://www.wikidata.org/entity/Q62,San Francisco,37.775,-122.419444444,,,,
http://www.wikidata.org/entity/Q94286272,Oliver P. Hubbard,1900-03-09T00:00:00Z,http://www.wikidata.org/entity/Q60,New York City,40.728138888,-73.920277777,http://www.wikidata.org/entity/Q5611457,Grove Street Cemetery,41.313611,-72.9275
http://www.wikidata.org/entity/Q96550199,Justus Schwab,1900-12-17T00:00:00Z,http://www.wikidata.org/entity/Q60,New York City,40.728138888,-73.920277777,,,,
http://www.wikidata.org/entity/Q99941127,Sophia Holmes,1900-10-10T00:00:00Z,http://www.wikidata.org/entity/Q61,"Washington, D.C.",38.895,-77.036666666,,,,
http://www.wikidata.org/entity/Q105871067,Ferdinand T. Spangenberg,1900-01-01T00:00:00Z,http://www.wikidata.org/entity/Q60,New York City,40.728138888,-73.920277777,,,,
http://www.wikidata.org/entity/Q109858739,Samuel S. Purple,1900-09-29T00:00:00Z,http://www.wikidata.org/entity/Q60,New York City,40.728138888,-73.920277777,http://www.wikidata.org/entity/Q117549189,Earlville Cemetery,42.74199,-75.54482
http://www.wikidata.org/entity/Q109885520,George P. Hall,1900-01-01T00:00:00Z,http://www.wikidata.org/entity/Q60,New York City,40.728138888,-73.920277777,,,,
http://www.wikidata.org/entity/Q110935201,Alfred Young,1900-04-04T00:00:00Z,http://www.wikidata.org/entity/Q60,New York City,40.728138888,-73.920277777,,,,
http://www.wikidata.org/entity/Q115857092,Salvatore Maggiolo,1900-08-28T00:00:00Z,http://www.wikidata.org/entity/Q60,New York City,40.728138888,-73.920277777,,,,
http://www.wikidata.org/entity/Q124421989,Q124421989,1900-01-01T00:00:00Z,http://www.wikidata.org/entity/Q61,"Washington, D.C.",38.895,-77.036666666,,,,
http://www.wikidata.org/entity/Q130760332,Madame Strebinger,1900-01-09T00:00:00Z,http://www.wikidata.org/entity/Q62,San Francisco,37.775,-122.419444444,,,,
http://www.wikidata.org/entity/Q101914,Ludolf Parisius,1900-03-10T00:00:00Z,http://www.wikidata.org/entity/Q64,Berlin,52.516666666,13.383333333,,,,
http://www.wikidata.org/entity/Q106697,Fedor Jagor,1900-02-11T00:00:00Z,http://www.wikidata.org/entity/Q64,Berlin,52.516666666,13.383333333,http://www.wikidata.org/entity/Q882748,Südwestkirchhof Stahnsdorf,52.3889,13.1806
http://www.wikidata.org/entity/Q106697,Fedor Jagor,1900-02-11T00:00:00Z,http://www.wikidata.org/entity/Q64,Berlin,52.516666666,13.383333333,http://www.wikidata.org/entity/Q438183,Alter St.-Matthäus-Kirchhof Berlin,52.490277777,13.366944444
http://www.wikidata.org/entity/Q317492,Karl Becker,1900-12-20T00:00:00Z,http://www.wikidata.org/entity/Q64,Berlin,52.516666666,13.383333333,,,,
http://www.wikidata.org/entity/Q362092,Adolf Henning,1900-03-25T00:00:00Z,http://www.wikidata.org/entity/Q64,Berlin,52.516666666,13.383333333,,,,
http://www.wikidata.org/entity/Q453042,Amalie Gräfin zu Solms,1900-07-23T00:00:00Z,http://www.wikidata.org/entity/Q64,Berlin,52.516666666,13.383333333,,,,
http://www.wikidata.org/entity/Q474996,Hermann Eschke,1900-01-15T00:00:00Z,http://www.wikidata.org/entity/Q64,Berlin,52.516666666,13.383333333,http://www.wikidata.org/entity/Q438234,Alter Friedhof der Zwölf-Apostel-Gemeinde,52.483661111,13.36545
http://www.wikidata.org/entity/Q824016,Hugo Rheinhold,1900-10-02T00:00:00Z,http://www.wikidata.org/entity/Q64,Berlin,52.516666666,13.383333333,,,,
